eval_id,question,category,classification,refined_query,retrieved_count,filtered_count,final_context_count,final_context_doc_types,final_context_categories,attribution_doc_ids,answer_preview
qa_000,물품 취득 관리가 뭐야?,물품 취득 관리,NEED_RAG,물품 취득 관리 절차는 무엇인가요?,25,25,5,manual_chunk|qa|qa|qa|qa,물품 취득 관리|물품 취득 관리|물품 취득 관리|물품 취득 관리|물품 취득 관리,manual_manual_chapter1.json_1.3.5_008|qa_0001|qa_0008|qa_0006|qa_0000,"물품 취득 관리는 대학 내에서 구입, 기증, 이관 등을 통해 획득한 신규 물품의 정보를 시스템에 최초로 등록하는 과정입니다. 이 과정은 별도의 검수 절차 없이 신규 물품의 기본 정보와 취득 내역을 시스템에 반영하는 것을 목적으로 합니다. [홈 화면]에서 상단의 메뉴 중 [물품 관리]를 클릭한 후, 이동한 페이지의 좌측 리스트 중 [물품 취득 관리]를 클릭하여 [물품 취득 관리] 페이지로 들어갈 수 있습니다."
qa_001,취득정리구분이 뭐야?,물품 취득 관리,NEED_RAG,취득정리구분의 정의 또는 의미는 무엇인가요?,25,25,5,manual_chunk|manual_chunk|faq|qa|qa,물품 취득 관리|물품 불용 관리|처분/폐기|물품 취득 관리|물품 취득 관리,manual_manual_chapter1.json_1.1_000|manual_manual_chapter5.json_5.1_000|faq_process_09|qa_0001|qa_0004,"취득정리구분은 물품을 어떠한 경로로 취득하게 되었는지를 나타내는 항목입니다. 선택 가능한 항목으로는 '자체구입', '기증', '자체제작'이 있습니다."
qa_002,취득일자와 정리일자의 차이가 뭐야?,물품 취득 관리,NEED_RAG,취득일자와 정리일자의 차이점은 무엇인가요?,25,5,4,manual_chunk|qa|qa|qa,물품 취득 관리|물품 취득 관리|물품 취득 관리|물품 취득 관리,manual_manual_chapter1.json_1.1_000|qa_0002|qa_0004|qa_0006,"취득일자는 물품의 취득을 시스템에 '등록'한 날짜를 의미하며, 정리일자는 등록한 물품에 대하여 관리자가 취득을 '확정'한 날짜를 의미합니다."
qa_003,신규 물품 취득 등록 절차를 알려줘.,물품 취득 관리,NEED_RAG,신규 물품 취득 등록 절차 안내.,25,12,2,manual_chunk|qa,물품 취득 관리|물품 취득 관리,manual_manual_chapter1.json_1.1_000|qa_0003,"[물품 취득 관리] 페이지 우측 상단의 [등록] 버튼을 클릭하여 [물품 기본 정보 관리] 페이지로 이동합니다. 그 후, '물품 기본 정보' 칸에 다음 항목들을 입력합니다: 'G2B목록명', 'G2B목록번호', '취득일자', '정리일자', '운용상태', '내용연수', '취득금액', '수량', '취득정리구분', '운용부서', '운용부서코드', '비고'. 모든 정보를 입력한 후 우측 상단의 [저장] 버튼을 클릭하면 등록이 완료됩니다."
qa_004,정리일자와 운용상태 입력이 안 되는 이유는 뭐야?,물품 취득 관리,NEED_RAG,정리일자와 운용상태 입력 불가 사유는 무엇인가요?,25,25,4,manual_chunk|manual_chunk|manual_chunk|qa,물품 불용 관리|물품 불용 관리|물품 불용 관리|물품 불용 관리,manual_manual_chapter4.json_4.3.4_007|manual_manual_chapter4.json_4.2.2_002|manual_manual_chapter4.json_4.1_000|qa_0028,제공된 매뉴얼 근거만으로는 확인하기 어렵습니다.
qa_005,물품 취득 승인요청과 승인취소는 어떻게 해?,물품 취득 관리,NEED_RAG,물품 취득 승인 요청 및 승인 취소 절차는 어떻게 되나요?,25,8,2,manual_chunk|qa,물품 취득 관리|물품 취득 관리,manual_manual_chapter1.json_1.3.3_006|qa_0005,"'물품 취득 대장 목록'에서 승인 요청을 보낼 물품의 체크박스를 선택한 후 우측 상단의 [승인요청] 버튼을 눌러 관리자에게 확정을 요청하면 됩니다. 승인취소는 요청을 보낸 물품들 중 승인 상태가 '대기' 또는 '반려'인 것에 한정하여, 요청을 취소할 물품의 체크박스를 선택한 후 우측 상단의 [요청취소] 버튼을 누르면 관리자에게 보낸 요청이 취소됩니다."
qa_006,등록한 취득 물품 정보를 수정하려면 어떻게 해?,물품 취득 관리,NEED_RAG,취득 물품 정보 수정 절차,25,10,2,manual_chunk|qa,물품 취득 관리|물품 취득 관리,manual_manual_chapter1.json_1.3.4_007|qa_0006,"'물품 취득 대장 목록'에서 수정할 물품을 선택한 후 우측 상단의 [수정] 버튼을 클릭하세요. 이후 [물품 기본 정보 관리] 페이지에서 '취득일자', '수량', '취득정리구분', '운용부서', '비고' 항목을 수정한 뒤 우측 상단의 [저장] 버튼을 누르면 목록에 반영됩니다."
qa_007,등록된 물품 취득 목록을 삭제하는 방법은 뭐야?,물품 취득 관리,NEED_RAG,"""등록된 물품 취득 목록 삭제 절차""",25,4,4,qa|qa|qa|qa,물품 취득 관리|물품 반납 관리|물품 처분 관리|물품 불용 관리,qa_0007|qa_0022|qa_0042|qa_0032,"'물품 취득 대장 목록'에서 삭제하고자 하는 물품의 체크박스를 선택한 후 우측 상단의 [삭제] 버튼을 클릭하면 됩니다. 단, 승인상태가 '대기' 혹은 '반려'인 경우에만 삭제할 수 있습니다."
qa_008,관리자가 물품 취득을 확정하는 과정은 어떻게 돼?,물품 취득 관리,NEED_RAG,"""관리자가 물품 취득을 확정하는 절차는 무엇인가요?""",25,5,3,manual_chunk|manual_chunk|qa,물품 취득 관리|물품 취득 관리|물품 취득 관리,manual_manual_chapter1.json_1.3.5_008|manual_manual_chapter1.json_1.2.3_003|qa_0008,"관리자가 물품 취득을 확정하는 과정은 다음과 같습니다:

1. [홈 화면]에서 [관리자]로 접속한 후 [물품 취득 확정 관리] 페이지로 이동합니다.
2. 검색 영역에서 'G2B목록명', '운용부서', 'G2B목록번호', '정리일자', '취득일자', '승인상태'를 입력한 후 [조회] 버튼을 눌러 '물품 취득 대장 목록'을 확인합니다.
3. 확정하려는 물품의 체크박스를 선택한 후 우측 상단의 [확정] 버튼을 누릅니다.
4. 확정된 물품은 '물품 운용 대장 목록'으로 넘어가며, 물품 고유 번호가 부여됩니다."
qa_009,물품 취득 목록은 어떻게 조회할 수 있어?,물품 취득 관리,NEED_RAG,물품 취득 목록 조회 방법은?,25,9,3,manual_chunk|manual_chunk|qa,물품 취득 관리|물품 취득 관리|물품 취득 관리,manual_manual_chapter1.json_1.5_010|manual_manual_chapter1.json_1.2.1_001|qa_0009,"[물품 취득 관리] 페이지의 상단 검색 영역에서 'G2B목록명', '운용부서', 'G2B목록번호', '정리일자', '취득일자', '승인상태(전체/대기/반려/확정)' 중 필요한 조건을 입력한 후 [조회] 버튼을 클릭하시면 됩니다. 이후 하단에 나타나는 '물품 취득 대장 목록'을 통해 취득된 물품들의 목록을 확인할 수 있습니다."
qa_010,물품 취득 관리 시 유의사항이나 제약사항이 있어?,물품 취득 관리,NEED_RAG,물품 취득 관리 시 유의사항 또는 제약사항은 무엇인가요?,25,12,3,qa|qa|qa,물품 취득 관리|물품 취득 관리|물품 취득 관리,qa_0010|qa_0001|qa_0008,"물품 취득 관리 시 유의사항으로는, 물품 정보의 수정 및 삭제는 정보를 입력한 등록자만 가능하다는 점이 있습니다. 또한, 관리자가 이미 '확정' 처리를 한 경우에는 수정이나 삭제 버튼이 비활성화되어 변경할 수 없습니다. 내용연수와 취득금액은 확정 이후 물품 운용 대장에서만 수정이 가능합니다."
