eval_id,question,category,source,chapter,generated_answer,reference_answer,faithfulness_score,answer_relevance_score,reference_alignment_score,hallucination,retrieved_source_hit,retrieved_chapter_hit
qa_000,물품 취득 관리가 뭐야?,물품 취득 관리,manual_chapter1.json,1.1,제공된 문서들로는 물품 취득 관리에 대한 구체적인 설명이 부족합니다. 추가적인 정보가 필요합니다.,"물품 취득 관리는 대학 내에서 구입, 기증, 이관 등을 통해 획득한 신규 물품의 정보를 시스템에 최초로 등록하는 과정입니다. 이 과정은 별도의 검수 절차 없이 신규 물품의 기본 정보와 취득 내역을 시스템에 반영하는 것을 목적으로 합니다. [홈 화면]에서 상단의 메뉴 중 [물품 관리] 클릭, 이후 이동한 페이지의 좌측 리스트 중 [물품 취득 관리]를 클릭하여 [물품 취득 관리] 페이지로 들어갈 수 있습니다.",3,2,2,False,True,True
qa_001,취득정리구분이 뭐야?,물품 취득 관리,manual_chapter1.json,1.1,"제공된 문서에서는 ""취득정리구분""에 대한 구체적인 설명이 없습니다. 추가적인 정보가 필요합니다.","취득정리구분은 취득 사유를 나타내는 항목으로, 물품을 어떠한 경로로 취득하게 되었는지를 보여줍니다. 선택 가능한 항목으로는 '자체구입', '기증', '자체제작' 세 가지가 있습니다.",5,5,3,False,True,True
qa_002,취득일자와 정리일자의 차이가 뭐야?,물품 취득 관리,manual_chapter1.json,1.1,제공된 문서에서는 취득일자와 정리일자의 차이에 대한 구체적인 설명이 없습니다. 추가적인 정보가 필요합니다.,"취득일자는 물품의 취득을 시스템에 '등록'한 날짜를 의미하며, 정리일자는 등록한 물품에 대하여 관리자가 취득을 '확정'한 날짜를 의미합니다.",3,4,3,False,True,True
qa_003,신규 물품 취득 등록 절차를 알려줘.,물품 취득 관리,manual_chapter1.json,1.3,제공된 문서들에는 신규 물품 취득 등록 절차에 대한 정보가 포함되어 있지 않습니다.,"[물품 취득 관리] 페이지 우측 상단의 [등록] 버튼을 클릭하여 [물품 기본 정보 관리] 페이지로 이동한 후, '물품 기본 정보' 칸의 'G2B목록명', 'G2B목록번호', '취득일자', '정리일자', '운용상태', '내용연수', '취득금액', '수량', '취득정리구분', '운용부서', '운용부서코드', '비고' 항목을 입력한 후 우측 상단의 [저장] 버튼을 클릭하면 등록이 완료됩니다.",5,5,1,False,True,False
qa_004,정리일자와 운용상태 입력이 안 되는 이유는 뭐야?,물품 취득 관리,manual_chapter1.json,1.3,제공된 문서들에서는 정리일자와 운용상태 입력이 안 되는 이유에 대한 정보가 없습니다. 추가적인 문서나 정보를 확인해야 할 것 같습니다.,"'정리일자'는 관리자가 취득 확정 승인을 완료한 경우에만 '관리자의 확정 승인 일자'로 자동 등록되며, '운용상태'는 물품의 취득의 등록이 완료된 후 '취득'으로 자동 등록됩니다. 이후 관리자가 취득의 '확정'을 할 경우 운용상태는 '운용'으로 자동으로 바뀌게 됩니다.",4,5,2,False,False,False
qa_005,물품 취득 승인요청과 승인취소는 어떻게 해?,물품 취득 관리,manual_chapter1.json,1.3.3,"물품 취득 승인 요청을 하려면, 물품 취득 관리 페이지에서 해당 물품을 선택한 후 [승인 요청] 버튼을 클릭하여 관리자에게 확정을 요구할 수 있습니다. 승인 취소를 하려면, 동일한 페이지에서 [승인 취소] 버튼을 눌러 요청을 취소할 수 있습니다.","'물품 취득 대장 목록'에서 승인 요청을 보낼 물품의 체크박스를 선택한 후 우측 상단의 [승인요청] 버튼을 눌러 관리자에게 확정을 요청하면 됩니다. 승인취소는 요청을 보낸 물품들 중 승인 상태가 '대기', '반려'인 것에 한정하여 요청을 취소할 물품의 체크박스를 선택한 후 우측 상단의 [요청취소] 버튼을 누르면 관리자에게 보낸 요청이 취소됩니다.",5,5,4,False,True,False
qa_006,등록한 취득 물품 정보를 수정하려면 어떻게 해?,물품 취득 관리,manual_chapter1.json,1.3.4,등록한 취득 물품 정보를 수정하려면 [물품 취득 관리] 페이지로 이동하여 승인상태가 '대기' 혹은 '반려'인 경우에만 가능합니다. 목록에서 수정할 항목을 선택한 후 [수정] 버튼을 클릭하고 내용을 변경한 후 [저장] 버튼을 눌러 수정 내용을 저장하세요.,"'물품 취득 대장 목록'에서 수정할 물품을 선택한 후 우측 상단의 [수정] 버튼을 클릭합니다. 이후 [물품 기본 정보 관리] 페이지에서 수정할 수 있는 '취득일자', '수량', '취득정리구분', '운용부서', '비고' 항목을 수정한 뒤 우측 상단의 [저장] 버튼을 누르면 목록에 반영됩니다.",5,5,4,False,True,False
qa_007,등록된 물품 취득 목록을 삭제하는 방법은 뭐야?,물품 취득 관리,manual_chapter1.json,1.3.4,"물품 취득 목록을 삭제하려면 [물품 취득 관리] 페이지에서 목록에서 항목을 체크한 후 [삭제] 버튼을 클릭하면 목록에서 제외됩니다. 단, 승인상태가 '대기' 혹은 '반려'인 경우에만 가능합니다.","'물품 취득 대장 목록'에서 삭제하고자 하는 물품의 체크박스를 선택한 후 우측 상단의 [삭제] 버튼을 클릭하면 됩니다. 단, 승인상태가 '대기' 혹은 '반려'인 경우에만 삭제할 수 있습니다.",5,5,4,False,True,False
qa_008,관리자가 물품 취득을 확정하는 과정은 어떻게 돼?,물품 취득 관리,manual_chapter1.json,1.3.5,"관리자가 물품 취득을 확정하는 과정은 다음과 같습니다. 먼저, [물품 취득 확정 관리] 페이지로 이동하여 승인상태가 '대기' 또는 '반려'인 물품을 조회합니다. 확정할 물품을 선택한 후 [확정] 버튼을 클릭하면, 해당 물품은 '물품 운용 대장 목록'으로 이관되고, 수량에 따라 '물품 고유 번호'가 부여됩니다. 만약 확정을 거부해야 하는 경우, 시스템에 별도 버튼이 없으면 오프라인으로 수정 요구를 전달하고, 사용자가 수정한 후 다시 확정 절차를 진행해야 합니다.","관리자는 [홈 화면]에서 [관리자]로 접속한 후 [물품 취득 확정 관리] 페이지로 접속합니다. 이후 검색 영역에서 'G2B목록명', '운용부서', 'G2B목록번호', '정리일자', '취득일자', '승인상태'를 입력한 후 [조회]를 눌러 하단에 뜨는 '물품 취득 대장 목록'을 확인합니다. 여기서 확정하려는 물품의 체크박스를 선택한 후 우측 상단의 [확정] 버튼을 누르면 해당 물품은 취득 확정이 되어 '물품 운용 대장 목록'으로 넘어가며 물품 고유 번호가 부여됩니다.",5,5,4,False,True,False
qa_009,물품 취득 목록은 어떻게 조회할 수 있어?,물품 취득 관리,manual_chapter1.json,1.5,"물품 취득 목록을 조회하려면 메인 페이지의 조회 영역에서 검색 조건을 설정해야 합니다. 검색 조건으로는 G2B목록명, G2B목록번호, 운용부서, 취득일자, 정리일자, 승인상태(대기/반려/확정)를 사용할 수 있습니다. 조건을 설정한 후 검색을 실행하면 해당 조건에 맞는 물품 취득 목록이 표시됩니다.","[물품 취득 관리] 페이지의 상단의 검색 영역에서 'G2B목록명', '운용부서', 'G2B목록번호', '정리일자', '취득일자', '승인상태(전체/대기/반려/확정)'을 입력한 후 [조회] 버튼을 클릭합니다. 이후 하단에 뜨는 '물품 취득 대장 목록'을 통해 취득된 물품들의 목록을 확인할 수 있습니다. ",5,5,5,False,True,True
qa_010,물품 취득 관리 시 유의사항이나 제약사항이 있어?,물품 취득 관리,manual_chapter1.json,1.6,제공된 문서에서는 물품 취득 관리 시 유의사항이나 제약사항에 대한 구체적인 정보를 찾을 수 없습니다. 추가적인 문서나 정보를 참조해야 할 것 같습니다.,"물품 정보의 수정 및 삭제는 정보를 입력한 등록자만 가능하며, 관리자가 이미 '확정' 처리를 한 경우에는 수정이나 삭제 버튼이 비활성화되어 변경할 수 없습니다. 또한, 내용연수와 취득금액은 확정 이후 물품 운용 대장에서만 수정이 가능합니다.",3,3,2,False,True,True
qa_011,물품의 운용이란 어떠한 과정이야?,절차,manual_chapter2.json,2.1,"제공된 문서에 따르면, 물품 운용 관리는 취득이 확정되어 '물품 운용 대장 목록'에 등록된 자산에 대해 관리하는 과정입니다. 이 과정은 물품의 상세 내역을 확인하고, 운용 기간 동안 발생한 변경 사항들을 반영하며, 그 이력을 조회하는 것을 주된 목적으로 합니다.","물품 운용 관리는 취득이 확정되어 '물품 운용 대장 목록'에 등록된 자산에 대해 관리하는 과정입니다. 이 과정은 물품의 상세 내역을 확인하고, 운용 기간 동안 발생한 변경 사항들을 반영하며, 그 이력을 조회하는 것을 주된 목적으로 합니다. [홈 화면]에서 상단 메뉴 중 [물품 관리]를 클릭, 이후 이동한 페이지의 좌측 리스트 중 [물품 운용 관리]를 클릭하여 [물품 운용 관리] 페이지로 들어갈 수 있습니다.",5,5,4,False,True,True
