eval_id,question,category,failure_reason,expected_doc_id,retrieved_doc_ids,filtered_doc_ids,reranked_doc_ids,final_context_doc_ids,answer_preview
ai_chatbot_001,AI 챗봇이 뭐야?,AI 챗봇,expected_doc_not_retrieved,,,,,,"AI 챗봇은 인공지능(AI)을 활용하여 사람과 대화할 수 있는 컴퓨터 프로그램입니다. 이러한 챗봇은 자연어 처리(NLP) 기술을 사용하여 사용자의 질문을 이해하고 적절한 답변을 제공합니다. AI 챗봇은 고객 서비스, 정보 제공, 엔터테인먼트 등 다양한 분야에서 활용되며, 24시간 내내 사용자와 상호작용할 수 있어 효율성을 높이고 사용자 경험을 개선하는 데 기여합니다."
ai_chatbot_002,AI 챗봇의 주요 기능이 뭐야? 핵심만 정리해줘.,AI 챗봇,expected_doc_not_retrieved,,,,,,"AI 챗봇의 주요 기능은 다음과 같습니다:

1. **대화 이해 및 처리**: 자연어 처리(NLP)를 통해 사용자의 질문이나 요청을 이해하고 적절한 응답을 생성합니다.

2. **정보 제공**: 다양한 주제에 대한 정보를 검색하고 제공할 수 있습니다.

3. **고객 지원**: 고객의 문의를 처리하고 문제 해결을 돕습니다.

4. **개인화된 추천**: 사용자의 선호도와 과거 데이터를 기반으로 맞춤형 추천을 제공합니다.

5. **업무 자동화**: 예약, 주문 처리, 일정 관리 등 반복적인 작업을 자동화합니다.

6. **언어 번역"
ai_chatbot_003,매뉴얼 기준으로 AI 챗봇 어떻게 실행해?,AI 챗봇,expected_doc_not_retrieved,,,,,,"AI 챗봇을 실행하는 방법은 사용하는 플랫폼과 개발 환경에 따라 다를 수 있지만, 일반적인 절차는 다음과 같습니다.

1. **목적 정의**: 챗봇이 해결할 문제나 제공할 서비스를 명확히 정의합니다. 예를 들어 고객 지원, 정보 제공, 예약 시스템 등.

2. **플랫폼 선택**: 챗봇을 배포할 플랫폼을 선택합니다. 웹사이트, 모바일 앱, Facebook Messenger, WhatsApp 등 다양한 옵션이 있습니다.

3. **개발 환경 설정**:
   - **프로그래밍 언어 선택**: Python, JavaScript, Java"
ai_chatbot_004,챗봇이랑 사용주기 AI의 차이점이 뭐야?,AI 챗봇,final_context_contains_irrelevant_docs,,qa_0062|manual_manual_chapter8.json_8.4_006|faq_process_05|manual_manual_chapter7.json_7.3.1_004|manual_manual_chapter7.json_7.4_007|manual_manual_chapter7.json_7.1_000|qa_0053|qa_0058|manual_manual_chapter7.json_7.2_001|qa_0054,qa_0062|manual_manual_chapter8.json_8.4_006|faq_process_05|manual_manual_chapter7.json_7.3.1_004|manual_manual_chapter7.json_7.4_007|manual_manual_chapter7.json_7.1_000|qa_0053|qa_0058|manual_manual_chapter7.json_7.2_001|qa_0054,qa_0062|manual_manual_chapter8.json_8.4_006|qa_0053|manual_manual_chapter7.json_7.1_000|qa_0054|qa_0056,manual_manual_chapter8.json_8.4_006|manual_manual_chapter7.json_7.1_000|qa_0062|qa_0053|qa_0056,"챗봇과 사용주기 AI의 차이점은 다음과 같습니다:

1. **챗봇**: 단순 행정 안내를 담당하며, 통계 데이터를 분석하지 않습니다. 주로 사용자가 질문하는 행정 관련 정보를 제공하는 역할을 합니다.

2. **사용주기 AI**: 전문 데이터 분석을 담당하며, 대학 기자재의 노후화로 인한 교육 환경 저해를 방지하기 위해 머신러닝 알고리즘과 SCM(공급망 관리) 지식을 결합하여 지능형 조달 최적화 서비스를 제공합니다. 사용자가 자연어 질의를 입력하면, AI가 맥락을 분석하여 장비별 고장 시점, 안전 재고량, 전략적 발주 시점 등을 정"
ai_chatbot_005,쳇봇에게 물어보면 좋은 질문에는 어떠한 것들이 있을까? 짧게 알려줘.,AI 챗봇,expected_doc_not_retrieved,,,,,,"쳇봇에게 물어보면 좋은 질문들은 다음과 같습니다:

1. 특정 주제에 대한 정보나 설명 요청
2. 추천 도서, 영화, 음악 등
3. 간단한 문제 해결 방법
4. 최신 뉴스나 트렌드
5. 언어 번역이나 문법 설명

이런 질문들은 유용한 답변을 얻는 데 도움이 될 수 있습니다."
ai_chatbot_006,AI 챗봇에서 AI 챗봇이 뭐야?,AI 챗봇,expected_doc_not_retrieved,,,,,,"AI 챗봇은 인공지능 기술을 활용하여 사람과 대화할 수 있는 컴퓨터 프로그램입니다. 이러한 챗봇은 자연어 처리(NLP) 기술을 사용하여 사용자의 질문을 이해하고 적절한 답변을 제공합니다. AI 챗봇은 고객 서비스, 정보 제공, 개인 비서 역할 등 다양한 분야에서 활용되며, 24/7 자동화된 지원을 제공할 수 있어 많은 기업과 개인에게 유용합니다."
ai_chatbot_007,AI 챗봇의 주요 기능이 뭐야? 관련해서 조건이나 제약이 있으면 같이 알려줘.,AI 챗봇,expected_doc_not_retrieved,,,,,,"AI 챗봇의 주요 기능은 다음과 같습니다:

1. **대화 이해 및 생성**: 자연어 처리(NLP)를 통해 사용자의 질문이나 요청을 이해하고 적절한 응답을 생성합니다.

2. **정보 제공**: 다양한 주제에 대한 정보를 검색하고 제공할 수 있습니다. 예를 들어, 날씨, 뉴스, 일반 상식 등 다양한 정보를 제공합니다.

3. **고객 지원**: 고객 서비스 분야에서 자주 묻는 질문에 답변하거나 문제 해결을 지원합니다.

4. **개인화된 추천**: 사용자의 선호도나 과거의 상호작용을 기반으로 맞춤형 추천을 제공합니다.

5. **업"
ai_chatbot_008,AI 챗봇 어떻게 실행해? 버튼 흐름 중심으로 설명해줘.,AI 챗봇,expected_doc_not_retrieved,,,,,,"AI 챗봇을 실행하는 과정은 사용하는 플랫폼이나 서비스에 따라 다를 수 있지만, 일반적인 버튼 흐름을 중심으로 설명해드릴게요.

1. **앱 또는 웹사이트 열기**:
   - 먼저, AI 챗봇이 통합된 앱이나 웹사이트를 엽니다. 예를 들어, 특정 메신저 앱이나 고객 지원 웹사이트일 수 있습니다.

2. **챗봇 시작 버튼 찾기**:
   - 앱이나 웹사이트 내에서 ""챗봇 시작"" 또는 ""도움말""과 같은 버튼을 찾습니다. 이 버튼은 일반적으로 화면 하단이나 메뉴에 위치해 있습니다.

3. **챗봇 활성화**:
   - ""챗봇 시작"" 버"
ai_chatbot_009,챗봇이랑 사용주기 AI의 차이점이 뭐야? 사용자가 헷갈리지 않게 단계별로 알려줘.,AI 챗봇,final_context_contains_irrelevant_docs,,qa_0062|manual_manual_chapter8.json_8.4_006|faq_process_05|manual_manual_chapter7.json_7.3.1_004|manual_manual_chapter7.json_7.1_000|manual_manual_chapter7.json_7.4_007|manual_manual_chapter7.json_7.2_001|qa_0053|qa_0055|qa_0054,qa_0062|manual_manual_chapter8.json_8.4_006|faq_process_05|manual_manual_chapter7.json_7.3.1_004|manual_manual_chapter7.json_7.1_000|manual_manual_chapter7.json_7.4_007|manual_manual_chapter7.json_7.2_001|qa_0053|qa_0055|qa_0054,qa_0062|manual_manual_chapter8.json_8.4_006|manual_manual_chapter7.json_7.4_007|qa_0053|manual_manual_chapter7.json_7.1_000|qa_0054,manual_manual_chapter8.json_8.4_006|manual_manual_chapter7.json_7.4_007|manual_manual_chapter7.json_7.1_000|qa_0062|qa_0053,"챗봇과 사용주기 AI의 차이점은 다음과 같습니다:

1. **역할 및 기능**:
   - **챗봇**: 단순 행정 안내를 담당합니다. 통계 데이터를 분석하지 않으며, 매뉴얼을 설명하는 역할을 합니다.
   - **사용주기 AI**: 전문 데이터 분석을 수행합니다. 머신러닝 알고리즘과 SCM 지식을 결합하여 장비별 고장 시점, 안전 재고량, 전략적 발주 시점 등을 정밀하게 도출합니다.

2. **사용 목적**:
   - **챗봇**: 사용자가 시스템 사용법이나 절차에 대한 안내를 받을 때 사용합니다.
   - **사용주기 AI**: "
ai_chatbot_010,쳇봇에게 물어보면 좋은 질문에는 어떠한 것들이 있을까? 관리자 처리까지 포함해서 알려줘.,AI 챗봇,expected_doc_not_retrieved,,,,,,"쳇봇에게 물어보면 좋은 질문들은 주로 정보 제공, 문제 해결, 그리고 일반적인 대화에 관련된 것들입니다. 또한, 관리자가 처리해야 할 경우도 고려해야 합니다. 다음은 몇 가지 예시입니다.

### 정보 제공 관련 질문
1. **일반 정보**: ""오늘 날씨 어때?"", ""지금 몇 시야?""
2. **추천**: ""좋은 영화 추천해줘"", ""맛집 추천해줘""
3. **지식 탐색**: ""아인슈타인의 상대성 이론에 대해 설명해줘"", ""한국 역사에 대해 알려줘""

### 문제 해결 관련 질문
1. **기술 지원**: ""와이파이 연결이 안 돼, 어떻게"
